Url;Status code;Status name;Fetch Time;Modified Time;Retries since fetch;Retry interval seconds;Retry interval days;Score;Signature;Metadata
"https://www.aoncadis.org/contact/Joel%20Barker/project.html";2;"db_fetched";Wed Dec 03 09:37:05 UTC 2014;Thu Jan 01 00:00:00 UTC 1970;0;2592000.0;30.0;2.3529412E-4;"3c2fd7f21cb93226fead3319defda7d7";"Content-Type:application/xhtml+xml|||_pst_:success(1), lastModified=0|||_rs_:595|||"
"https://www.aoncadis.org/contact/John%20Burkhart/project.html";2;"db_fetched";Wed Dec 03 09:51:53 UTC 2014;Thu Jan 01 00:00:00 UTC 1970;0;2592000.0;30.0;2.3529412E-4;"579f71f65216247c36e9bd1b60202901";"Content-Type:application/xhtml+xml|||_pst_:success(1), lastModified=0|||_rs_:606|||"
"https://www.aoncadis.org/contact/John%20T.%20Andrews/project.html";2;"db_fetched";Wed Dec 03 09:46:08 UTC 2014;Thu Jan 01 00:00:00 UTC 1970;0;2592000.0;30.0;2.3529412E-4;"cb81408a591d6a25a718c782d3fbb1c9";"Content-Type:application/xhtml+xml|||_pst_:success(1), lastModified=0|||_rs_:568|||"
"https://www.aoncadis.org/contact/Jonathan%20Benstead/project.html";2;"db_fetched";Wed Dec 03 10:28:34 UTC 2014;Thu Jan 01 00:00:00 UTC 1970;0;2592000.0;30.0;2.3529412E-4;"18b75f81254d1c7dc6066fbdec7241dd";"Content-Type:application/xhtml+xml|||_pst_:success(1), lastModified=0|||_rs_:494|||"
"https://www.aoncadis.org/contact/Jonathan%20P.%20Benstead/project.html";2;"db_fetched";Wed Dec 03 11:05:07 UTC 2014;Thu Jan 01 00:00:00 UTC 1970;0;2592000.0;30.0;2.3529412E-4;"f2c423048ce36651d0de83415bfa16e5";"Content-Type:application/xhtml+xml|||_pst_:success(1), lastModified=0|||_rs_:543|||"
"https://www.aoncadis.org/contact/Juha%20Alatalo/project.html";2;"db_fetched";Wed Dec 03 09:59:58 UTC 2014;Thu Jan 01 00:00:00 UTC 1970;0;2592000.0;30.0;2.3529412E-4;"1b5cae41a79f23de33305717d4cd490c";"Content-Type:application/xhtml+xml|||_pst_:success(1), lastModified=0|||_rs_:822|||"
"https://www.aoncadis.org/contact/Kate%20Buckeridge/project.html";2;"db_fetched";Wed Dec 03 10:12:20 UTC 2014;Thu Jan 01 00:00:00 UTC 1970;0;2592000.0;30.0;2.3529412E-4;"b3f471544172d5c368aa3f10cb5a1a5f";"Content-Type:application/xhtml+xml|||_pst_:success(1), lastModified=0|||_rs_:517|||"
"https://www.aoncadis.org/contact/Katey%20M.%20Walter%20Anthony/project.html";2;"db_fetched";Wed Dec 03 10:33:02 UTC 2014;Thu Jan 01 00:00:00 UTC 1970;0;2592000.0;30.0;2.3529412E-4;"4b4ee8ececec3ec809d1697356073048";"Content-Type:application/xhtml+xml|||_pst_:success(1), lastModified=0|||_rs_:554|||"
"https://www.aoncadis.org/contact/Katherine%20Benedict/project.html";2;"db_fetched";Wed Dec 03 10:58:35 UTC 2014;Thu Jan 01 00:00:00 UTC 1970;0;2592000.0;30.0;2.3529412E-4;"bdeb8542301b71d592904c5a0dd42168";"Content-Type:application/xhtml+xml|||_pst_:success(1), lastModified=0|||_rs_:552|||"
"https://www.aoncadis.org/contact/Kerim%20Aydin/project.html";2;"db_fetched";Wed Dec 03 09:29:47 UTC 2014;Thu Jan 01 00:00:00 UTC 1970;0;2592000.0;30.0;2.3529412E-4;"5c5089c8f7ddca303f62ff52301fa9d2";"Content-Type:application/xhtml+xml|||_pst_:success(1), lastModified=0|||_rs_:574|||"
"https://www.aoncadis.org/contact/Knut%20Aagaard/project.html";2;"db_fetched";Wed Dec 03 09:55:29 UTC 2014;Thu Jan 01 00:00:00 UTC 1970;0;2592000.0;30.0;2.3529412E-4;"ab0cf81405bda943bb7ba2c9e6914007";"Content-Type:application/xhtml+xml|||_pst_:success(1), lastModified=0|||_rs_:590|||"
"https://www.aoncadis.org/contact/Lilian%20Alessa/project.html";2;"db_fetched";Wed Dec 03 10:26:39 UTC 2014;Thu Jan 01 00:00:00 UTC 1970;0;2592000.0;30.0;2.3529412E-4;"d5c6735836ef0d911e977fa900eac8b4";"Content-Type:application/xhtml+xml|||_pst_:success(1), lastModified=0|||_rs_:521|||"
"https://www.aoncadis.org/contact/Lorraine%20Ahlquist/project.html";2;"db_fetched";Wed Dec 03 10:40:01 UTC 2014;Thu Jan 01 00:00:00 UTC 1970;0;2592000.0;30.0;2.3529412E-4;"e75f07550e95f024e80e619ed3b352f4";"Content-Type:application/xhtml+xml|||_pst_:success(1), lastModified=0|||_rs_:544|||"
"https://www.aoncadis.org/contact/Marion%20Bret-Harte/project.html";2;"db_fetched";Wed Dec 03 09:50:27 UTC 2014;Thu Jan 01 00:00:00 UTC 1970;0;2592000.0;30.0;2.3529412E-4;"113ef21a1193e2d41ae6666f6d996f3b";"Content-Type:application/xhtml+xml|||_pst_:success(1), lastModified=0|||_rs_:538|||"
"https://www.aoncadis.org/contact/Mark%20Abbott/project.html";2;"db_fetched";Wed Dec 03 10:13:25 UTC 2014;Thu Jan 01 00:00:00 UTC 1970;0;2592000.0;30.0;2.3529412E-4;"e142c895f8dfd767276bfbec89c616e3";"Content-Type:application/xhtml+xml|||_pst_:success(1), lastModified=0|||_rs_:567|||"
"https://www.aoncadis.org/contact/Mary%20Albert/project.html";2;"db_fetched";Wed Dec 03 09:51:32 UTC 2014;Thu Jan 01 00:00:00 UTC 1970;0;2592000.0;30.0;2.3529412E-4;"7c8f607b683b8ebed41aaa0a3e4bf841";"Content-Type:application/xhtml+xml|||_pst_:success(1), lastModified=0|||_rs_:562|||"
